,index,ID,Age,Age_group,Education,Children,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Expenses,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumAllPurchases,NumStorePurchases,NumWebVisitsMonth
29,33,7373,62,Boomers,Postgraduate,2,Divorced,46610.0,2012-10-29,8.0,96.0,12.0,96.0,33.0,22.0,43.0,302.0,6.0,4.0,1.0,11.0,6.0,6.0
30,34,8755,68,Boomers,Postgraduate,0,Married,68657.0,2013-02-20,4.0,482.0,34.0,471.0,119.0,68.0,22.0,1196.0,1.0,3.0,5.0,17.0,9.0,7.0
31,35,10738,63,Boomers,Postgraduate,2,Single,49389.0,2013-08-29,55.0,40.0,0.0,19.0,2.0,1.0,3.0,65.0,1.0,2.0,0.0,5.0,3.0,7.0
32,36,4339,44,Gen X,Postgraduate,1,Married,67353.0,2013-12-31,37.0,702.0,17.0,151.0,0.0,8.0,35.0,913.0,5.0,5.0,6.0,23.0,12.0,2.0
33,37,10755,38,Millenials,Postgraduate,1,Married,23718.0,2013-02-09,76.0,6.0,3.0,14.0,15.0,7.0,36.0,81.0,3.0,3.0,1.0,6.0,2.0,7.0
34,38,8595,41,Millenials,Undergraduate,1,Divorced,42429.0,2014-11-02,99.0,55.0,0.0,6.0,2.0,0.0,4.0,67.0,2.0,1.0,1.0,5.0,3.0,5.0
35,39,2968,71,Boomers,Postgraduate,0,Divorced,48948.0,2013-01-02,53.0,437.0,8.0,206.0,160.0,49.0,42.0,902.0,2.0,7.0,10.0,22.0,5.0,6.0
36,40,8601,34,Millenials,Undergraduate,1,Married,80011.0,2013-04-29,3.0,421.0,76.0,536.0,82.0,178.0,102.0,1395.0,2.0,8.0,6.0,19.0,5.0,4.0
37,41,503,29,Millenials,Postgraduate,1,Married,20559.0,2013-12-03,88.0,13.0,1.0,29.0,3.0,0.0,7.0,53.0,2.0,2.0,0.0,5.0,3.0,8.0
38,42,8430,57,Gen X,Undergraduate,1,Married,21994.0,2012-12-24,4.0,9.0,0.0,6.0,3.0,1.0,3.0,22.0,1.0,0.0,0.0,3.0,3.0,5.0
39,43,7281,55,Gen X,Postgraduate,0,Single,49504.0,2013-05-11,80.0,81.0,11.0,50.0,3.0,2.0,39.0,186.0,1.0,1.0,3.0,8.0,4.0,2.0
40,45,1371,38,Millenials,Undergraduate,0,Single,79941.0,2014-06-28,72.0,123.0,164.0,266.0,227.0,30.0,174.0,984.0,1.0,2.0,4.0,15.0,9.0,1.0
41,47,7286,46,Gen X,Undergraduate,1,Married,41728.0,2013-05-24,92.0,13.0,6.0,15.0,3.0,5.0,13.0,55.0,1.0,2.0,0.0,4.0,2.0,10.0
42,48,7244,63,Boomers,Undergraduate,3,Single,47415.0,2014-01-01,96.0,48.0,5.0,48.0,6.0,10.0,7.0,124.0,3.0,2.0,1.0,7.0,4.0,6.0
43,49,6566,60,Boomers,Postgraduate,2,Married,72550.0,2012-08-11,39.0,826.0,50.0,317.0,50.0,38.0,38.0,1319.0,9.0,5.0,2.0,19.0,12.0,8.0
44,50,8614,57,Gen X,Undergraduate,1,Divorced,65486.0,2014-12-05,29.0,245.0,19.0,125.0,37.0,67.0,14.0,507.0,1.0,4.0,2.0,16.0,10.0,2.0
45,51,4114,50,Gen X,Postgraduate,0,Married,79143.0,2012-11-08,2.0,650.0,37.0,780.0,27.0,167.0,32.0,1693.0,1.0,6.0,9.0,28.0,13.0,3.0
46,52,1331,37,Millenials,Undergraduate,1,Single,35790.0,2013-02-01,54.0,12.0,6.0,20.0,30.0,1.0,3.0,72.0,2.0,2.0,0.0,5.0,3.0,7.0
47,53,2225,37,Millenials,Undergraduate,0,Divorced,82582.0,2014-07-06,54.0,510.0,120.0,550.0,156.0,40.0,241.0,1617.0,1.0,4.0,9.0,20.0,7.0,1.0
48,54,9381,36,Millenials,Undergraduate,2,Married,66373.0,2013-12-06,57.0,328.0,9.0,124.0,12.0,24.0,109.0,606.0,7.0,4.0,2.0,16.0,10.0,3.0
49,55,6260,59,Boomers,Postgraduate,0,Married,82384.0,2012-11-19,55.0,984.0,51.0,432.0,180.0,120.0,190.0,1957.0,1.0,3.0,10.0,26.0,13.0,1.0
50,56,10383,48,Gen X,Undergraduate,0,Divorced,70287.0,2013-02-04,30.0,295.0,35.0,482.0,121.0,120.0,40.0,1093.0,1.0,5.0,5.0,20.0,10.0,3.0
51,57,7437,26,Millenials,Undergraduate,1,Single,27938.0,2014-04-28,31.0,13.0,0.0,8.0,2.0,1.0,5.0,29.0,1.0,1.0,0.0,5.0,4.0,3.0
52,58,8557,32,Millenials,Undergraduate,1,Single,47415.0,2013-06-17,57.0,11.0,3.0,22.0,2.0,2.0,6.0,46.0,2.0,2.0,0.0,5.0,3.0,6.0
53,59,8375,46,Gen X,Postgraduate,1,Married,55954.0,2014-03-03,63.0,447.0,0.0,28.0,0.0,0.0,43.0,518.0,3.0,8.0,2.0,16.0,6.0,7.0
54,60,6853,32,Millenials,Postgraduate,0,Single,75777.0,2013-04-07,12.0,712.0,26.0,538.0,69.0,13.0,80.0,1438.0,1.0,3.0,6.0,20.0,11.0,1.0
55,61,3076,39,Millenials,Undergraduate,2,Married,66653.0,2012-07-09,18.0,452.0,18.0,102.0,16.0,18.0,6.0,612.0,4.0,4.0,2.0,18.0,12.0,3.0
56,62,1012,62,Boomers,Undergraduate,1,Single,61823.0,2013-02-18,26.0,523.0,7.0,134.0,37.0,14.0,169.0,884.0,4.0,8.0,2.0,20.0,10.0,7.0
57,63,6518,63,Boomers,Postgraduate,1,Divorced,67680.0,2013-11-06,8.0,546.0,0.0,48.0,0.0,6.0,6.0,606.0,1.0,7.0,3.0,18.0,8.0,5.0
58,64,4137,66,Boomers,Undergraduate,0,Married,70666.0,2013-06-12,29.0,398.0,40.0,367.0,119.0,122.0,30.0,1076.0,1.0,7.0,4.0,15.0,4.0,4.0
59,65,8082,43,Gen X,Undergraduate,1,Married,25721.0,2013-05-21,75.0,1.0,3.0,6.0,3.0,6.0,15.0,34.0,1.0,1.0,1.0,4.0,2.0,7.0
60,66,1386,47,Gen X,Undergraduate,2,Married,32474.0,2014-11-05,0.0,10.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,3.0,2.0,7.0
61,67,9369,35,Millenials,Postgraduate,1,Single,88194.0,2014-03-19,19.0,688.0,14.0,309.0,201.0,24.0,38.0,1274.0,1.0,11.0,10.0,31.0,10.0,5.0
62,68,4477,56,Gen X,Undergraduate,1,Married,69096.0,2013-09-27,4.0,247.0,49.0,159.0,7.0,82.0,109.0,653.0,1.0,5.0,2.0,17.0,10.0,4.0
63,69,1357,44,Gen X,Undergraduate,3,Married,74854.0,2013-08-04,90.0,856.0,59.0,487.0,58.0,29.0,73.0,1562.0,7.0,2.0,5.0,12.0,5.0,5.0
64,70,1402,60,Boomers,Postgraduate,0,Married,66991.0,2012-11-09,1.0,496.0,36.0,460.0,189.0,60.0,12.0,1253.0,3.0,4.0,8.0,18.0,6.0,3.0
65,71,10629,41,Millenials,Postgraduate,1,Married,53376.0,2012-09-14,25.0,25.0,3.0,43.0,17.0,4.0,17.0,109.0,3.0,3.0,0.0,6.0,3.0,8.0
66,72,6312,55,Gen X,Undergraduate,1,Married,65031.0,2013-03-17,29.0,258.0,107.0,291.0,84.0,37.0,86.0,863.0,4.0,10.0,3.0,26.0,13.0,7.0
67,73,8132,39,Millenials,Postgraduate,2,Married,60631.0,2013-05-04,88.0,565.0,6.0,65.0,0.0,6.0,19.0,661.0,5.0,9.0,2.0,19.0,8.0,7.0
68,74,1050,62,Boomers,Undergraduate,0,Married,28332.0,2014-04-30,58.0,14.0,10.0,13.0,4.0,15.0,9.0,65.0,1.0,2.0,1.0,7.0,4.0,2.0
69,75,5846,37,Millenials,Undergraduate,1,Divorced,40246.0,2012-12-19,68.0,2.0,1.0,6.0,2.0,1.0,1.0,13.0,1.0,1.0,0.0,3.0,2.0,6.0
70,76,1859,42,Gen X,Postgraduate,0,Married,75251.0,2012-08-27,34.0,721.0,111.0,925.0,97.0,18.0,18.0,1890.0,1.0,7.0,6.0,18.0,5.0,5.0
71,77,7503,38,Millenials,Undergraduate,0,Single,75825.0,2012-12-10,40.0,1032.0,105.0,779.0,137.0,105.0,51.0,2209.0,0.0,5.0,8.0,22.0,9.0,4.0
72,78,10401,38,Millenials,Postgraduate,0,Married,26326.0,2013-04-09,12.0,1.0,0.0,5.0,0.0,3.0,9.0,18.0,1.0,0.0,0.0,3.0,3.0,3.0
73,79,1618,49,Gen X,Undergraduate,0,Married,56046.0,2013-02-01,9.0,577.0,0.0,64.0,0.0,0.0,51.0,692.0,2.0,10.0,1.0,19.0,8.0,8.0
74,80,3332,29,Millenials,Undergraduate,1,Single,29760.0,2012-08-29,87.0,64.0,4.0,68.0,7.0,5.0,17.0,165.0,4.0,3.0,1.0,8.0,4.0,8.0
75,81,2261,45,Gen X,Undergraduate,1,Married,26304.0,2013-06-23,5.0,4.0,1.0,5.0,2.0,0.0,4.0,16.0,1.0,1.0,0.0,3.0,2.0,7.0
76,82,5346,41,Millenials,Postgraduate,1,Married,23559.0,2013-03-07,87.0,25.0,5.0,19.0,7.0,0.0,23.0,79.0,3.0,3.0,0.0,6.0,3.0,7.0
77,83,4119,51,Gen X,Postgraduate,0,Married,38620.0,2013-11-05,56.0,112.0,17.0,44.0,34.0,22.0,89.0,318.0,1.0,2.0,5.0,10.0,3.0,3.0
78,84,535,27,Millenials,Undergraduate,0,Divorced,81361.0,2014-02-25,18.0,163.0,23.0,424.0,27.0,65.0,76.0,778.0,1.0,3.0,10.0,26.0,13.0,1.0
79,85,5268,54,Gen X,Undergraduate,2,Married,29440.0,2013-11-08,95.0,17.0,8.0,14.0,10.0,4.0,3.0,56.0,2.0,1.0,0.0,5.0,4.0,7.0
80,86,273,44,Gen X,Postgraduate,2,Married,36138.0,2013-07-16,48.0,130.0,0.0,16.0,0.0,0.0,5.0,151.0,5.0,3.0,1.0,8.0,4.0,7.0
81,87,4452,57,Gen X,Undergraduate,1,Single,50388.0,2014-05-28,3.0,292.0,6.0,37.0,0.0,3.0,34.0,372.0,4.0,6.0,1.0,13.0,6.0,7.0
82,88,8504,41,Millenials,Undergraduate,0,Married,79593.0,2014-12-05,70.0,350.0,60.0,568.0,110.0,133.0,145.0,1366.0,1.0,5.0,6.0,18.0,7.0,2.0
83,89,771,47,Gen X,Undergraduate,1,Married,54178.0,2014-01-21,79.0,135.0,9.0,39.0,4.0,0.0,7.0,194.0,1.0,2.0,2.0,9.0,5.0,2.0
84,90,8996,57,Gen X,Postgraduate,3,Married,53376.0,2012-11-19,4.0,230.0,42.0,192.0,49.0,37.0,53.0,603.0,12.0,7.0,2.0,17.0,8.0,9.0
85,91,9235,57,Gen X,Undergraduate,2,Single,47415.0,2014-05-27,45.0,7.0,0.0,8.0,2.0,0.0,1.0,18.0,1.0,1.0,0.0,3.0,2.0,7.0
86,92,5798,41,Millenials,Postgraduate,0,Married,53376.0,2013-11-23,87.0,445.0,37.0,359.0,98.0,28.0,18.0,985.0,1.0,2.0,4.0,14.0,8.0,1.0
87,93,11178,42,Gen X,Postgraduate,1,Single,42394.0,2014-03-23,69.0,15.0,2.0,10.0,0.0,1.0,4.0,32.0,1.0,1.0,0.0,4.0,3.0,7.0
88,94,2230,44,Gen X,Postgraduate,1,Married,23626.0,2014-05-24,84.0,27.0,2.0,14.0,0.0,0.0,0.0,43.0,3.0,3.0,1.0,7.0,3.0,5.0
89,95,7516,31,Millenials,Undergraduate,1,Married,30096.0,2014-05-22,30.0,5.0,3.0,11.0,12.0,5.0,9.0,45.0,1.0,2.0,0.0,5.0,3.0,6.0
90,96,7247,54,Gen X,Undergraduate,1,Divorced,47916.0,2012-11-22,72.0,505.0,0.0,26.0,0.0,0.0,75.0,606.0,5.0,7.0,4.0,17.0,6.0,6.0
91,97,11100,42,Gen X,Undergraduate,2,Divorced,51813.0,2013-11-04,37.0,51.0,2.0,7.0,0.0,1.0,2.0,63.0,2.0,2.0,0.0,5.0,3.0,7.0
92,98,4646,63,Boomers,Postgraduate,0,Married,78497.0,2013-01-12,44.0,207.0,26.0,447.0,75.0,0.0,223.0,978.0,1.0,5.0,7.0,24.0,12.0,2.0
93,99,3037,31,Millenials,Postgraduate,0,Married,50150.0,2013-06-20,32.0,135.0,46.0,92.0,65.0,61.0,11.0,410.0,2.0,5.0,2.0,14.0,7.0,5.0
94,100,1473,54,Gen X,Postgraduate,1,Single,47823.0,2013-07-23,0.0,53.0,1.0,5.0,2.0,1.0,10.0,72.0,2.0,2.0,0.0,5.0,3.0,8.0
95,101,1016,55,Gen X,Postgraduate,1,Single,34554.0,2014-03-30,43.0,41.0,1.0,6.0,2.0,0.0,5.0,55.0,2.0,2.0,0.0,5.0,3.0,6.0
96,102,4518,35,Millenials,Undergraduate,1,Married,85693.0,2013-04-20,59.0,386.0,172.0,183.0,185.0,132.0,111.0,1169.0,2.0,9.0,5.0,25.0,11.0,5.0
97,103,9370,69,Boomers,Postgraduate,0,Married,65846.0,2013-05-17,68.0,562.0,81.0,276.0,80.0,40.0,81.0,1120.0,1.0,6.0,3.0,15.0,6.0,4.0
98,104,8908,55,Gen X,Undergraduate,0,Married,87195.0,2014-08-05,35.0,217.0,76.0,690.0,50.0,26.0,38.0,1097.0,1.0,3.0,11.0,19.0,5.0,1.0
99,105,8373,35,Millenials,Undergraduate,1,Married,24594.0,2013-10-12,94.0,1.0,3.0,6.0,10.0,0.0,9.0,29.0,1.0,1.0,0.0,4.0,3.0,5.0
100,106,7533,50,Gen X,Undergraduate,2,Married,49096.0,2013-09-24,15.0,144.0,1.0,32.0,2.0,1.0,7.0,187.0,4.0,4.0,1.0,9.0,4.0,7.0
101,107,2683,45,Gen X,Undergraduate,2,Married,52413.0,2013-02-02,56.0,295.0,106.0,271.0,75.0,98.0,65.0,910.0,4.0,6.0,4.0,22.0,12.0,6.0
102,108,3629,36,Millenials,Undergraduate,1,Single,38557.0,2012-12-19,17.0,76.0,3.0,31.0,4.0,4.0,27.0,145.0,2.0,3.0,1.0,7.0,3.0,7.0
103,109,10991,54,Gen X,Postgraduate,0,Married,89058.0,2012-07-12,18.0,454.0,194.0,106.0,31.0,22.0,43.0,850.0,1.0,5.0,4.0,13.0,4.0,2.0
104,110,5077,35,Millenials,Undergraduate,1,Married,77298.0,2013-02-11,46.0,425.0,115.0,292.0,23.0,35.0,79.0,969.0,1.0,6.0,6.0,23.0,11.0,3.0
105,111,7431,23,Gen Z,Postgraduate,0,Single,68126.0,2012-10-11,40.0,1332.0,17.0,311.0,23.0,51.0,86.0,1820.0,1.0,7.0,4.0,16.0,5.0,9.0
106,112,3267,51,Gen X,Postgraduate,1,Married,57288.0,2014-06-25,27.0,527.0,0.0,21.0,0.0,0.0,60.0,608.0,3.0,8.0,1.0,17.0,8.0,6.0
107,113,999,23,Gen Z,Undergraduate,0,Single,86037.0,2013-02-01,95.0,490.0,44.0,125.0,29.0,20.0,22.0,730.0,1.0,6.0,7.0,24.0,11.0,3.0
108,114,9215,34,Millenials,Postgraduate,1,Married,43974.0,2012-12-12,19.0,378.0,0.0,101.0,0.0,0.0,72.0,551.0,5.0,6.0,4.0,16.0,6.0,7.0
109,115,2286,52,Gen X,Undergraduate,2,Single,50785.0,2013-10-09,27.0,64.0,1.0,21.0,0.0,1.0,27.0,114.0,2.0,2.0,1.0,6.0,3.0,6.0
110,116,1592,44,Gen X,Undergraduate,0,Married,90765.0,2014-01-24,25.0,547.0,99.0,812.0,151.0,82.0,33.0,1724.0,0.0,4.0,6.0,15.0,5.0,1.0
111,117,367,36,Millenials,Postgraduate,1,Married,36550.0,2013-02-19,74.0,47.0,90.0,94.0,123.0,103.0,120.0,577.0,5.0,9.0,1.0,15.0,5.0,9.0
112,118,5234,47,Gen X,Postgraduate,2,Married,30753.0,2013-11-07,85.0,12.0,5.0,25.0,0.0,9.0,30.0,81.0,2.0,1.0,1.0,5.0,3.0,5.0
113,119,9862,45,Gen X,Undergraduate,1,Married,21918.0,2013-11-14,37.0,1.0,6.0,7.0,11.0,5.0,3.0,33.0,2.0,2.0,0.0,5.0,3.0,6.0
114,120,9805,61,Boomers,Postgraduate,1,Married,56129.0,2013-06-20,65.0,320.0,48.0,133.0,39.0,72.0,48.0,660.0,4.0,6.0,2.0,18.0,10.0,4.0
115,121,6205,47,Gen X,Postgraduate,1,Single,32557.0,2014-02-24,13.0,34.0,3.0,29.0,0.0,4.0,10.0,80.0,3.0,2.0,1.0,6.0,3.0,5.0
116,122,8442,29,Millenials,Postgraduate,2,Married,19510.0,2013-04-09,63.0,9.0,0.0,7.0,3.0,4.0,7.0,30.0,2.0,1.0,0.0,4.0,3.0,7.0
117,123,7386,38,Millenials,Undergraduate,1,Divorced,30992.0,2013-04-22,83.0,17.0,0.0,14.0,7.0,3.0,2.0,43.0,1.0,1.0,0.0,4.0,3.0,7.0
118,124,7215,31,Millenials,Undergraduate,0,Single,101970.0,2013-12-03,69.0,722.0,27.0,102.0,44.0,72.0,168.0,1135.0,0.0,6.0,8.0,27.0,13.0,2.0
119,125,1491,49,Gen X,Postgraduate,0,Married,71488.0,2013-02-18,87.0,162.0,33.0,124.0,40.0,28.0,172.0,559.0,2.0,3.0,4.0,14.0,7.0,1.0
120,126,11071,30,Millenials,Undergraduate,0,Single,79607.0,2013-04-21,37.0,450.0,133.0,951.0,173.0,0.0,216.0,1923.0,1.0,3.0,6.0,15.0,6.0,1.0
121,127,3381,61,Boomers,Postgraduate,2,Married,54348.0,2014-08-06,51.0,70.0,0.0,16.0,0.0,0.0,4.0,90.0,2.0,2.0,0.0,6.0,4.0,6.0
122,128,8268,53,Gen X,Postgraduate,1,Married,53376.0,2013-11-07,23.0,352.0,0.0,27.0,10.0,0.0,15.0,404.0,3.0,6.0,1.0,14.0,7.0,6.0
123,129,11051,58,Boomers,Postgraduate,2,Married,77376.0,2014-10-05,72.0,492.0,19.0,110.0,16.0,12.0,12.0,661.0,4.0,6.0,3.0,19.0,10.0,4.0
124,130,8026,62,Boomers,Undergraduate,1,Married,62998.0,2013-09-30,10.0,120.0,58.0,73.0,65.0,89.0,58.0,463.0,5.0,5.0,4.0,14.0,5.0,5.0
125,131,433,56,Gen X,Postgraduate,2,Single,61331.0,2013-10-03,42.0,534.0,5.0,47.0,0.0,5.0,41.0,632.0,5.0,11.0,1.0,18.0,6.0,8.0
126,132,9597,45,Gen X,Undergraduate,0,Married,73448.0,2014-10-02,10.0,236.0,106.0,189.0,23.0,41.0,130.0,725.0,1.0,7.0,2.0,18.0,9.0,4.0
127,133,1295,51,Gen X,Undergraduate,1,Married,50286.0,2013-11-08,96.0,231.0,65.0,196.0,38.0,71.0,124.0,725.0,1.0,6.0,5.0,18.0,7.0,4.0
128,134,5290,50,Gen X,Postgraduate,2,Married,41551.0,2013-08-14,51.0,220.0,0.0,33.0,3.0,0.0,23.0,279.0,5.0,5.0,1.0,11.0,5.0,8.0
129,135,1685,47,Gen X,Postgraduate,0,Married,62981.0,2013-03-17,21.0,796.0,14.0,590.0,38.0,44.0,0.0,1482.0,1.0,4.0,5.0,22.0,13.0,3.0
130,137,9579,55,Gen X,Postgraduate,3,Married,33762.0,2013-07-07,61.0,53.0,1.0,34.0,2.0,0.0,16.0,106.0,3.0,2.0,2.0,6.0,2.0,8.0
131,138,7660,41,Millenials,Postgraduate,2,Single,35860.0,2014-05-19,37.0,15.0,0.0,8.0,4.0,2.0,20.0,49.0,2.0,1.0,1.0,4.0,2.0,5.0
132,139,1461,49,Gen X,Postgraduate,2,Divorced,36921.0,2013-07-28,74.0,17.0,1.0,12.0,3.0,1.0,4.0,38.0,2.0,2.0,0.0,5.0,3.0,7.0
133,140,821,22,Gen Z,Postgraduate,0,Single,92859.0,2012-10-19,46.0,962.0,61.0,921.0,52.0,61.0,20.0,2077.0,1.0,5.0,4.0,21.0,12.0,2.0
134,141,11084,38,Millenials,Postgraduate,1,Married,65104.0,2013-11-14,4.0,738.0,0.0,232.0,13.0,20.0,50.0,1053.0,2.0,3.0,5.0,15.0,7.0,7.0
135,142,8690,52,Gen X,Undergraduate,0,Married,86111.0,2013-04-19,73.0,399.0,28.0,756.0,36.0,40.0,126.0,1385.0,1.0,5.0,7.0,22.0,10.0,2.0
136,143,2937,40,Millenials,Postgraduate,1,Single,68352.0,2013-08-28,47.0,614.0,16.0,132.0,43.0,33.0,33.0,871.0,3.0,8.0,5.0,22.0,9.0,6.0
137,144,9701,26,Millenials,Undergraduate,1,Married,41883.0,2013-03-19,13.0,32.0,34.0,41.0,73.0,16.0,116.0,312.0,3.0,4.0,2.0,9.0,3.0,7.0
138,145,9949,38,Millenials,Undergraduate,2,Married,59809.0,2012-10-18,36.0,598.0,16.0,141.0,32.0,41.0,49.0,877.0,3.0,3.0,3.0,12.0,6.0,8.0
139,146,10837,39,Millenials,Undergraduate,1,Married,23957.0,2012-10-28,47.0,2.0,1.0,18.0,20.0,11.0,16.0,68.0,1.0,2.0,0.0,5.0,3.0,6.0
140,147,3120,33,Millenials,Undergraduate,1,Married,38547.0,2013-08-28,49.0,6.0,1.0,10.0,0.0,1.0,4.0,22.0,1.0,1.0,0.0,3.0,2.0,8.0
141,148,5885,41,Millenials,Postgraduate,3,Married,35688.0,2012-08-22,94.0,73.0,3.0,90.0,12.0,1.0,32.0,211.0,7.0,4.0,1.0,9.0,4.0,8.0
142,149,4050,48,Gen X,Postgraduate,0,Married,49605.0,2014-06-21,65.0,42.0,16.0,29.0,12.0,20.0,8.0,127.0,1.0,2.0,1.0,7.0,4.0,3.0
143,150,3830,61,Boomers,Postgraduate,2,Married,59354.0,2014-04-24,59.0,295.0,21.0,78.0,39.0,13.0,13.0,459.0,1.0,4.0,4.0,15.0,7.0,3.0
144,151,7987,45,Gen X,Undergraduate,1,Married,65747.0,2014-07-03,96.0,346.0,17.0,48.0,23.0,13.0,13.0,460.0,4.0,8.0,1.0,15.0,6.0,6.0
